id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
10-Mar,Albania,ALB,"339","2007","35079",Lushnje,"3",Fier,Lushnjes,Lushnje, Lushnjë,"0",NA,extreme temperature ,2007-0235,"40.9240448","19.68337768"
10-Mar,Albania,ALB,"339","2007","35087",Kolonje,"3",Fier,Lushnjes,Kolonje, Kolonjë,"0",NA,extreme temperature ,2007-0235,"40.85446749","19.61630252"
03-108,Chile,CHL,"155","1995","35143",Pucon,"3",Araucania,Cautin,Pucon, Pucon,"0",NA,extreme temperature ,1995-0176,"-39.21775253","-71.77059619"
03-108,Chile,CHL,"155","1995","35144",Curarrehue,"3",Araucania,Cautin,Curarrehue, Curarrehue,"0",NA,extreme temperature ,1995-0176,"-39.32284983","-71.53784096"
03-114,Chile,CHL,"155","2011","35196",Cunco,"3",Araucania,Cautin,Cunco, Cunco,"0",NA,extreme temperature ,2011-0316,"-38.95770247","-71.90301578"
03-114,Chile,CHL,"155","2011","35199",Lonquimay,"3",Araucania,Malleco,Lonquimay,Lonquimay villages ,"0",NA,extreme temperature ,2011-0316,"-38.44417521","-71.18919683"
03-114,Chile,CHL,"155","2011","35200",Villarrica,"3",Araucania,Cautin,Villarrica, Villarrica,"0",NA,extreme temperature ,2011-0316,"-39.42942608","-72.13881766"
03-114,Chile,CHL,"155","2011","35202",Pucon,"3",Araucania,Cautin,Pucon, Pucon,"0",NA,extreme temperature ,2011-0316,"-39.21775253","-71.77059619"
03-114,Chile,CHL,"155","2011","35203",Curarrehue,"3",Araucania,Cautin,Curarrehue, Curarrehue,"0",NA,extreme temperature ,2011-0316,"-39.32284983","-71.53784096"
03-114,Chile,CHL,"155","2011","35204",Vilcun,"3",Araucania,Cautin,Vilcun, Vilcun villages ,"0",NA,extreme temperature ,2011-0316,"-38.68556516","-71.96377646"
03-115,Chile,CHL,"155","2011","35208",Lonquimay,"3",Araucania,Malleco,Lonquimay,Lonquimay,"0",NA,extreme temperature ,2011-0661,"-38.44417521","-71.18919683"
03-115,Chile,CHL,"155","2011","35209",Pucon,"3",Araucania,Cautin,Pucon, Pucón,"0",NA,extreme temperature ,2011-0661,"-39.21775253","-71.77059619"
03-115,Chile,CHL,"155","2011","35211",Carahue,"3",Araucania,Cautin,Carahue, Carahue,"0",NA,extreme temperature ,2011-0661,"-38.66107765","-73.18787243"
03-115,Chile,CHL,"155","2011","35212",Cunco,"3",Araucania,Cautin,Cunco, Cunco,"0",NA,extreme temperature ,2011-0661,"-38.95770247","-71.90301578"
03-115,Chile,CHL,"155","2011","35214",Curacautin,"3",Araucania,Malleco,Curacautin, Curacautín,"0",NA,extreme temperature ,2011-0661,"-38.37400875","-71.63865198"
03-115,Chile,CHL,"155","2011","35215",Melipeuco,"3",Araucania,Cautin,Melipeuco, Melipeuco,"0",NA,extreme temperature ,2011-0661,"-38.77099823","-71.50170161"
03-115,Chile,CHL,"155","2011","35216",Curarrehue,"3",Araucania,Cautin,Curarrehue, Curarrehue,"0",NA,extreme temperature ,2011-0661,"-39.32284983","-71.53784096"
03-115,Chile,CHL,"155","2011","35217",Puren,"3",Araucania,Malleco,Puren, Purén villages ,"0",NA,extreme temperature ,2011-0661,"-38.00065462","-73.05667553"
03-115,Chile,CHL,"155","2011","35219",Villarrica,"3",Araucania,Cautin,Villarrica, Villarrica villages ,"0",NA,extreme temperature ,2011-0661,"-39.42942608","-72.13881766"
03-130,China,CHN,"710","2016","35272",Mohe,"3",Heilongjiang,Daxing'anling,Mohe, Mohe area ,"0",NA,extreme temperature ,2016-0023,"52.93400411","122.6966723"
03-166,France,FRN,"220","2009","35518",Lyon,"3",Auvergne-Rhone-Alpes,Rhone,Lyon,Lyon city ,"0",NA,extreme temperature ,2009-0029,"45.70985941","4.729317122"
03-191,Greece,GRC,"350","2007","35696",Kerkyra,"3","Peloponnese; Western Greece And The Ionian Islands",Ionian Islands,Kerkyra,kerkyras district,"0",NA,extreme temperature ,2007-0235,"39.64049096","19.83561564"
03-249,India,IND,"750","2011","36038",Sundarnagar,"3",Himachal Pradesh,Mandi,Sundarnagar, Sundernagar city ,"0",NA,extreme temperature ,2011-0007,"31.44114817","76.91980693"
03-342,Morocco,MOR,"600","2016","36763",Guercif,"3",Taza-Al Hoceima-Taounate,Taza,Guercif, Guercif cities ,"0",NA,extreme temperature ,2016-0061,"34.18972645","-3.520529377"
03-344,Morocco,MOR,"600","2017","36772",Guercif,"3",Taza-Al Hoceima-Taounate,Taza,Guercif, Guercif ,"0",NA,extreme temperature ,2017-0054,"34.18972645","-3.520529377"
03-347,Nepal,NEP,"790","2002","36789",Parsa,"3",Central,Narayani,Parsa, Parsa,"0",NA,extreme temperature ,2002-0831,"27.23949219","84.78236161"
03-347,Nepal,NEP,"790","2002","36791",Sarlahi,"3",Central,Janakpur,Sarlahi, Sarlahi areas ,"0",NA,extreme temperature ,2002-0831,"26.98588028","85.56745865"
03-347,Nepal,NEP,"790","2002","36795",Banke,"3",Mid-Western,Bheri,Banke, Banke,"0",NA,extreme temperature ,2002-0831,"28.08703209","81.82416506"
03-347,Nepal,NEP,"790","2002","36796",Bardiya,"3",Mid-Western,Bheri,Bardiya, Bardiya areas ,"0",NA,extreme temperature ,2002-0831,"28.38359104","81.40323195"
03-347,Nepal,NEP,"790","2002","36797",Kailali,"3",Far-Western,Seti,Kailali, Kailali area ,"0",NA,extreme temperature ,2002-0831,"28.74158889","80.88083089"
03-347,Nepal,NEP,"790","2002","36798",Bara,"3",Central,Narayani,Bara,Bara,"0",NA,extreme temperature ,2002-0831,"27.10767539","85.07286698"
03-347,Nepal,NEP,"790","2002","36799",Mahottari,"3",Central,Janakpur,Mahottari, Mahottari,"0",NA,extreme temperature ,2002-0831,"26.8789184","85.8222227"
03-347,Nepal,NEP,"790","2002","36800",Rautahat,"3",Central,Narayani,Rautahat, Rautahat areas ,"0",NA,extreme temperature ,2002-0831,"27.00162322","85.30456971"
03-350,Nepal,NEP,"790","2011","36810",Ilam,"3",East,Mechi,Ilam, Ilam,"0",NA,extreme temperature ,2011-0627,"26.88080447","87.90411447"
03-350,Nepal,NEP,"790","2011","36813",Dhankuta,"3",East,Koshi,Dhankuta, Dhankuta,"0",NA,extreme temperature ,2011-0627,"26.99053212","87.33345505"
03-350,Nepal,NEP,"790","2011","36814",Bhojpur,"3",East,Koshi,Bhojpur, Bhojpur,"0",NA,extreme temperature ,2011-0627,"27.18144993","87.07037234"
03-350,Nepal,NEP,"790","2011","36815",Taplejung,"3",East,Mechi,Taplejung,Taplejung,"0",NA,extreme temperature ,2011-0627,"27.58177736","87.82439423"
03-350,Nepal,NEP,"790","2011","36816",Solukhumbu,"3",East,Sagarmatha,Solukhumbu, Solukhumbu ,"0",NA,extreme temperature ,2011-0627,"27.71020308","86.72292453"
03-350,Nepal,NEP,"790","2011","36817",Khotang,"3",East,Sagarmatha,Khotang, Khotang,"0",NA,extreme temperature ,2011-0627,"27.16774751","86.78948882"
03-350,Nepal,NEP,"790","2011","36818",Panchthar,"3",East,Mechi,Panchthar, Panchthar ,"0",NA,extreme temperature ,2011-0627,"27.11467173","87.77837726"
