id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
04-103,China,CHN,"710","1996","38853",Nyingchi,"3",Xizang,Nyingtri,Nyingchi,Eastern Tibet,"0",NA,landslide,1996-0063,"29.78270787","94.37596705"
04-103,China,CHN,"710","1996","38855",Bomi,"3",Xizang,Nyingtri,Bomi,Bomi Region ,"0",NA,landslide,1996-0063,"30.05506268","95.67597728"
04-111,China,CHN,"710","2000","38876",Yingjiang,"3",Yunnan,Dehong Dai And Jingpo,Yingjiang,Yingjiang Xian area ,"0",NA,landslide,2000-0559,"24.85838447","97.91912594"
04-113,China,CHN,"710","2001","38879","Zhenyuan Yi; Hani And Lahu","3",Yunnan,Pu'er,"Zhenyuan Yi; Hani And Lahu",Zhenyuan Yi-Hani-Lahu Zizhi area ,"0",NA,landslide,2001-0768,"23.94644911","100.9724235"
04-114,China,CHN,"710","2001","38883",Mingshan,"3",Sichuan,Ya'an,Mingshan,Mingshan Xian area ,"0",NA,landslide,2001-0540,"30.1279231","103.2167904"
04-115,China,CHN,"710","2001","38886",Yongsheng,"3",Yunnan,Lijiang,Yongsheng,Yongsheng Xian area,"0",NA,landslide,2001-0573,"26.49125122","100.6998444"
04-121,China,CHN,"710","2002","38900",Xianfeng,"3",Hubei,Enshi Tujia And Miao,Xianfeng,Xianfeng Xian area ,"0",NA,landslide,2002-0645,"29.7303464","108.9920237"
04-122,China,CHN,"710","2002","38904",Wuding,"3",Yunnan,Chuxiong Yi,Wuding,Yichikou village ,"0",NA,landslide,2002-0640,"25.70960987","102.1758922"
04-123,China,CHN,"710","2003","38906",Danba,"3",Sichuan,Garze Tibetan,Danba, Danba area ,"0",NA,landslide,2003-0441,"30.96229403","101.7431931"
04-123,China,CHN,"710","2003","38908",Shimian,"3",Sichuan,Ya'an,Shimian, Shimian area ,"0",NA,landslide,2003-0441,"29.22992322","102.2837666"
04-124,China,CHN,"710","2003","38913",Sansui,"3",Guizhou,Qiandongnan Miao And Dong,Sansui,Sansui area ,"0",NA,landslide,2003-0219,"26.93569849","108.7447919"
04-127,China,CHN,"710","2007","38918",Badong,"3",Hubei,Enshi Tujia And Miao,Badong,Badong area ,"0",NA,landslide,2007-0580,"30.82469039","110.2899852"
04-128,China,CHN,"710","2008","38920",Huocheng,"3",Xinjiang Uygur,Ili Kazakh,Huocheng,Huocheng area ,"0",NA,landslide,2008-0140,"44.27582163","80.78656839"
04-131,China,CHN,"710","2008","38928",Xiangfen,"3",Shanxi,Linfen,Xiangfen,Xiangfen area,"0",NA,landslide,2008-0398,"35.86958485","111.3721154"
04-132,China,CHN,"710","2009","38931",Qingchuan,"3",Sichuan,Guangyuan,Qingchuan, Qingchuan area ,"0",NA,landslide,2009-0284,"32.53624938","105.1636069"
04-132,China,CHN,"710","2009","38935",Wenchuan,"3",Sichuan,Ngawa Tibetan And Qiang,Wenchuan, Wenchuan area ,"0",NA,landslide,2009-0284,"31.16613092","103.2855942"
04-132,China,CHN,"710","2009","38936",Kangding,"3",Sichuan,Garze Tibetan,Kangding,Kangding area ,"0",NA,landslide,2009-0284,"29.95142121","101.7482518"
04-132,China,CHN,"710","2009","38938",Beichuan Qiang,"3",Sichuan,Mianyang,Beichuan Qiang, Beichuan area ,"0",NA,landslide,2009-0284,"31.95913272","104.2505705"
04-134,China,CHN,"710","2009","38943",Zhongyang,"3",Shanxi,Luliang,Zhongyang,Zhongyang Xiang area ,"0",NA,landslide,2009-0500,"37.25656774","111.1738308"
04-136,China,CHN,"710","2009","38948",Hanyuan,"3",Sichuan,Ya'an,Hanyuan,Hanyuan Xian area ,"0",NA,landslide,2009-0313,"29.42765746","102.6131056"
04-138,China,CHN,"710","2010","38950",Guanling Buyei And Miao,"3",Guizhou,Anshun,Guanling Buyei And Miao,Dazhai village ,"0",NA,landslide,2010-0262,"25.8602424","105.5561301"
04-139,China,CHN,"710","2010","38953",Hanyuan,"3",Sichuan,Ya'an,Hanyuan,Hanyuan Xian area ,"0",NA,landslide,2010-0354,"29.42765746","102.6131056"
04-140,China,CHN,"710","2010","38960",Wenchuan,"3",Sichuan,Ngawa Tibetan And Qiang,Wenchuan,Wenchuan area ,"0",NA,landslide,2010-0394,"31.16613092","103.2855942"
04-141,China,CHN,"710","2010","38965",Gongshan Derung And Nu,"3",Yunnan,Nujiang Lisu,Gongshan Derung And Nu,Gongshan Dulong-Nu Zizhixia area,"0",NA,landslide,2010-0411,"27.89664042","98.50463538"
04-142,China,CHN,"710","2010","38966",Zizhou,"3",Shaanxi,Yulin,Zizhou,Shuanghuyu village ,"0",NA,landslide,2010-0682,"37.52866968","109.8661648"
04-142,China,CHN,"710","2010","38967",Yulin,"3",Shaanxi,Yulin,Yulin, Yulin district,"0",NA,landslide,2010-0682,"38.38543145","109.6243274"
04-143,China,CHN,"710","2010","38970",Zhugqu,"3",Gansu,Gannan Tibetan,Zhugqu,Zhouqu Xian area ,"0",NA,landslide,2010-0377,"33.66221765","104.3141134"
04-146,China,CHN,"710","2011","38978",Lueyang,"3",Shaanxi,Hanzhong,Lueyang,Lueyang area ,"0",NA,landslide,2011-0268,"33.37916895","106.1525964"
04-148,China,CHN,"710","2013","38984",Maizhokunggar,"3",Xizang,Lhasa,Maizhokunggar,Mozhugongka Xian area ,"0",NA,landslide,2013-0167,"29.90757615","92.03892725"
04-149,China,CHN,"710","2013","38985",Sinan,"3",Guizhou,Tongren,Sinan,Sinan area ,"0",NA,landslide,2013-0565,"27.84440349","108.1405624"
04-151,China,CHN,"710","2014","38991",Fuquan,"3",Guizhou,Qiannan Buyei And Miao,Fuquan,Fuquan Shi area ,"0",NA,landslide,2014-0337,"26.77514801","107.4809989"
04-158,China,CHN,"710","2017","39018",Mao,"3",Sichuan,Ngawa Tibetan And Qiang,Mao,Mao County,"0",NA,landslide,2017-0201,"31.8519185","103.6266782"
04-333,Indonesia,INS,"850","2001","39325",Ayah,"3",Jawa Tengah,Kebumen,Ayah,Ayah area ,"0",NA,landslide,2001-0652,"-7.712126796","109.4187171"
04-337,Indonesia,INS,"850","2003","39334",Kadungora,"3",Jawa Barat,Garut,Kadungora,Nenggeng,"0",NA,landslide,2003-0053,"-7.073862682","107.8950186"
04-339,Indonesia,INS,"850","2003","39339",Makale,"3",Sulawesi Selatan,Tana Toraja,Makale,Makale,"0",NA,landslide,2003-0144,"-3.095051179","119.850305"
04-341,Indonesia,INS,"850","2004","39350",Bagelen,"3",Jawa Tengah,Purworejo,Bagelen, Bagelen villages ,"0",NA,landslide,2004-0061,"-7.811278003","110.0400576"
04-341,Indonesia,INS,"850","2004","39351",Loano,"3",Jawa Tengah,Purworejo,Loano, Loano,"0",NA,landslide,2004-0061,"-7.667865905","110.065389"
04-350,Indonesia,INS,"850","2007","39381",Tahuna,"3",Sulawesi Utara,Kepulauan Sangihe,Tahuna,Tahuna,"0",NA,landslide,2007-0016,"3.624971854","125.4836352"
04-353,Indonesia,INS,"850","2009","39391",Sekotong Tengah,"3",Nusa Tenggara Barat,Lombok Barat,Sekotong Tengah,Buwun Mas village ,"0",NA,landslide,2009-0049,"-8.803436993","115.9725612"
04-359,Indonesia,INS,"850","2012","39403",Jasinga,"3",Jawa Barat,Bogor,Jasinga,Pangradin village ,"0",NA,landslide,2012-0250,"-6.481936351","106.4566137"
04-367,Indonesia,INS,"850","2016","39428",Sibolangit,"3",Sumatera Utara,Deli Serdang,Sibolangit,Sibolangit ,"0",NA,landslide,2016-0156,"3.303554794","98.56531563"
04-368,Indonesia,INS,"850","2016","39431",Nanggalo,"3",Sumatera Barat,Padang,Nanggalo, Nanggalo,"0",NA,landslide,2016-0216,"-0.899362039","100.3715814"
04-368,Indonesia,INS,"850","2016","39432",Padang Barat,"3",Sumatera Barat,Padang,Padang Barat, Padang Burat,"0",NA,landslide,2016-0216,"-0.943621432","100.3565053"
04-368,Indonesia,INS,"850","2016","39437",Bungus Teluk Kabung,"3",Sumatera Barat,Padang,Bungus Teluk Kabung, Bungus Teluk Kabung,"0",NA,landslide,2016-0216,"-1.050616787","100.4167352"
04-368,Indonesia,INS,"850","2016","39439",Padang Timur,"3",Sumatera Barat,Padang,Padang Timur, Padang Timur,"0",NA,landslide,2016-0216,"-0.945211213","100.3783421"
04-368,Indonesia,INS,"850","2016","39443",Koto Tangah,"3",Sumatera Barat,Padang,Koto Tangah,Koto Tangah,"0",NA,landslide,2016-0216,"-0.8091327","100.404862"
04-368,Indonesia,INS,"850","2016","39446",Lubuk Begalung,"3",Sumatera Barat,Padang,Lubuk Begalung, Lubuk Bengalung,"0",NA,landslide,2016-0216,"-0.979945758","100.4026522"
04-368,Indonesia,INS,"850","2016","39448",Padang Selatan,"3",Sumatera Barat,Padang,Padang Selatan, Padang Selatan,"0",NA,landslide,2016-0216,"-0.977533888","100.3590276"
04-371,Indonesia,INS,"850","2018","39461",Wanareja,"3",Jawa Tengah,Cilacap,Wanareja, Wanarej,"0",NA,landslide,2018-0056,"-7.305993432","108.681355"
04-371,Indonesia,INS,"850","2018","39463",Cepu,"3",Jawa Tengah,Blora,Cepu, Cepu District,"0",NA,landslide,2018-0056,"-7.163180081","111.5666885"
04-379,Italy,ITA,"325","1963","39481",Longarone,"3",Veneto,Belluno,Longarone, Longarone ,"0",NA,landslide,1963-0032,"46.26037931","12.2473872"
04-384,Italy,ITA,"325","1987","39489",Montagna In Valtellina,"3",Lombardia,Sondrio,Montagna In Valtellina,Valtellina,"0",NA,landslide,1987-0119,"46.2228209","9.925085633"
04-384,Italy,ITA,"325","1987","39490",Valdisotto,"3",Lombardia,Sondrio,Valdisotto, Sant'Antonio,"0",NA,landslide,1987-0119,"46.41908081","10.34996343"
04-388,Italy,ITA,"325","2006","39493",Ischia,"3",Campania,Napoli,Ischia,Ischia town ,"0",NA,landslide,2006-0219,"40.72790604","13.94778294"
04-389,Italy,ITA,"325","2011","39496",Saponara,"3",Sicily,Messina,Saponara,Saponara town ,"0",NA,landslide,2011-0495,"38.18768686","15.44691435"
