id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
05-165,China,CHN,"710","1994","40407",Xuwen,"3",Guangdong,Zhanjiang,Xuwen,Xuwen,"0",NA,drought,1994-9096,"20.42747493","110.2481108"
05-165,China,CHN,"710","1994","40411",Leizhou,"3",Guangdong,Zhanjiang,Leizhou, Leizhou,"0",NA,drought,1994-9096,"20.79331383","110.0051329"
05-364,Haiti,HAI,"41","2003","41100",Bombardopolis,"3",Nord-Ouest,Mole Saint-Nicolas,Bombardopolis, Bombardopolis,"0",NA,drought,2003-9758,"19.69085168","-73.34761719"
05-366,Haiti,HAI,"41","2016","41114",Baraderes,"3",Nippes,L'Anse-a-Veau,Baraderes, Baraderes,"0",NA,drought,2016-9052,"18.49387663","-73.68114707"
05-513,Kenya,KEN,"501","2008","41967",Marigat,"3",Baringo,Baringo South,Marigat, Marigat,"0",NA,drought,2008-9302,"0.446841199","35.91345792"
05-513,Kenya,KEN,"501","2008","41969",Tenges,"3",Baringo,Baringo Central,Tenges, Tenges,"0",NA,drought,2008-9302,"0.29168301","35.75193534"
05-513,Kenya,KEN,"501","2008","41974",Mukutani,"3",Baringo,Baringo South,Mukutani, Mukutani,"0",NA,drought,2008-9302,"0.546411913","36.18040336"
05-513,Kenya,KEN,"501","2008","41975",Sacho,"3",Baringo,Baringo Central,Sacho,Sacho,"0",NA,drought,2008-9302,"0.388403937","35.74599628"
05-546,Madagascar,MAG,"580","2000","42109",Betafo,"3",Antananarivo,Vakinankaratra,Betafo, Betafo districts ,"0",NA,drought,2000-9309,"-19.79492224","46.39418282"
05-546,Madagascar,MAG,"580","2000","42112",Ambovombe-Androy,"3",Toliary,Androy,Ambovombe-Androy,Ambovombe-Androy,"0",NA,drought,2000-9309,"-24.8628715","45.77960465"
05-546,Madagascar,MAG,"580","2000","42113",Beloha,"3",Toliary,Androy,Beloha, Beloha,"0",NA,drought,2000-9309,"-25.08816867","45.02200737"
05-546,Madagascar,MAG,"580","2000","42114",Antanifotsy,"3",Antananarivo,Vakinankaratra,Antanifotsy, Antanifotsy,"0",NA,drought,2000-9309,"-19.73911089","47.4977418"
05-546,Madagascar,MAG,"580","2000","42115",Marolambo,"3",Toamasina,Atsinanana,Marolambo, Marolambo,"0",NA,drought,2000-9309,"-20.09262095","47.96875657"
05-546,Madagascar,MAG,"580","2000","42116",Vatomandry,"3",Toamasina,Atsinanana,Vatomandry, Vatomandry,"0",NA,drought,2000-9309,"-19.36108027","48.77667685"
05-546,Madagascar,MAG,"580","2000","42117",Andilamena,"3",Toamasina,Alaotra-Mangoro,Andilamena, Andilamena,"0",NA,drought,2000-9309,"-16.72838495","48.36506082"
05-546,Madagascar,MAG,"580","2000","42120",Faratsiho,"3",Antananarivo,Vakinankaratra,Faratsiho, Faratsiho,"0",NA,drought,2000-9309,"-19.41596105","46.90249872"
05-546,Madagascar,MAG,"580","2000","42121",Bekily,"3",Toliary,Androy,Bekily, Bekily,"0",NA,drought,2000-9309,"-24.25778043","45.40163343"
05-546,Madagascar,MAG,"580","2000","42122",Amparafaravola,"3",Toamasina,Alaotra-Mangoro,Amparafaravola, Amparafaravola,"0",NA,drought,2000-9309,"-17.4518954","48.31419143"
05-551,Madagascar,MAG,"580","2016","42149",Beloha,"3",Toliary,Androy,Beloha, Beloha,"0",NA,drought,2016-9020,"-25.08816867","45.02200737"
05-551,Madagascar,MAG,"580","2016","42152",Taolagnaro,"3",Toliary,Anosy,Taolagnaro, Taolagnaro districts ,"0",NA,drought,2016-9020,"-24.62917078","46.96112702"
05-551,Madagascar,MAG,"580","2016","42153",Bekily,"3",Toliary,Androy,Bekily, Bekily,"0",NA,drought,2016-9020,"-24.25778043","45.40163343"
05-551,Madagascar,MAG,"580","2016","42154",Ambovombe-Androy,"3",Toliary,Androy,Ambovombe-Androy,Ambovombe-Androy,"0",NA,drought,2016-9020,"-24.8628715","45.77960465"
05-672,Niger,NIR,"436","2017","42605",Goudoumaria,"3",Diffa,Maine-Soroa,Goudoumaria, Goudoumaria,"0",NA,drought,2017-9208,"13.68217","11.21359245"
05-678,Pakistan,PAK,"770","1999","42621",Kharan,"3",Baluchistan,Kalat,Kharan, Kharan,"0",NA,drought,1999-9122,"27.95545056","64.64052952"
05-678,Pakistan,PAK,"770","1999","42622",Lasbela,"3",Baluchistan,Kalat,Lasbela, Lasbela,"0",NA,drought,1999-9122,"25.8119037","66.65300284"
05-678,Pakistan,PAK,"770","1999","42624",Khuzdar,"3",Baluchistan,Kalat,Khuzdar, Khuzdar,"0",NA,drought,1999-9122,"27.50002845","66.70126118"
05-678,Pakistan,PAK,"770","1999","42626",Loralai,"3",Baluchistan,Zhob,Loralai, Loralai,"0",NA,drought,1999-9122,"30.30779834","68.74888153"
05-776,Rwanda,RWA,"517","1999","42976",Kibungo,"3",Iburasirazuba,Ngoma,Kibungo, Kibungo village ,"0",NA,drought,1999-9388,"-2.135742518","30.5686532"
05-777,Rwanda,RWA,"517","2003","42991",Kibungo,"3",Iburasirazuba,Ngoma,Kibungo, Kibungo city ,"0",NA,drought,2003-9651,"-2.135742518","30.5686532"
05-901,Uganda,UGA,"500","2005","43589",Kaabong,"3",Kotido,Dodoth,Kaabong, Kaabong province,"0",NA,drought,2005-9163,"3.558186489","34.12007739"
05-901,Uganda,UGA,"500","2005","43591",Kalapata,"3",Kotido,Dodoth,Kalapata, Kalapata city ,"0",NA,drought,2005-9163,"3.720892476","34.19648692"
05-100,Burundi,BUI,"516","1999","40208",Rugombo,"2",Cibitoke,Rugombo,NA, Rugombo districts ,"0",NA,drought,1999-9388,"-2.82193931","29.09470673"
05-100,Burundi,BUI,"516","1999","40209",Rumonge,"2",Bururi,Rumonge,NA, Rumonge district ,"0",NA,drought,1999-9388,"-3.962205893","29.45710987"
05-100,Burundi,BUI,"516","1999","40213",Buganda,"2",Cibitoke,Buganda,NA, Buganda,"0",NA,drought,1999-9388,"-2.990569703","29.22578376"
05-100,Burundi,BUI,"516","1999","40215",Gihanga,"2",Bubanza,Gihanga,NA, Gihanga district ,"0",NA,drought,1999-9388,"-3.197333892","29.29429204"
05-100,Burundi,BUI,"516","1999","40220",Bugabira,"2",Kirundo,Bugabira,NA,Bugabira,"0",NA,drought,1999-9388,"-2.43007525","30.01978072"
