id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
"527",Bangladesh,BGD,"771","1995","1875",Hatiya,"3",Chittagong,Noakhali,Hatiya,Hatiya,"0",NA,storm,1995-0082,"22.29159078","91.0654556"
"533",Bangladesh,BGD,"771","1996","1865",Ghatail,"3",Dhaka,Tangail,Ghatail,Ghatail,"0",NA,storm,1996-0086,"24.4673118","90.05285629"
"533",Bangladesh,BGD,"771","1996","1872",Gopalpur,"3",Dhaka,Tangail,Gopalpur,Gopalpur,"0",NA,storm,1996-0086,"24.5740082","89.9011743"
"533",Bangladesh,BGD,"771","1996","1916",Kalihati,"3",Dhaka,Tangail,Kalihati,Kalihati,"0",NA,storm,1996-0086,"24.35235401","89.94171335"
"533",Bangladesh,BGD,"771","1996","2004",Mirzapur,"3",Dhaka,Tangail,Mirzapur,Mirzapur,"0",NA,storm,1996-0086,"24.11330631","90.10643338"
"533",Bangladesh,BGD,"771","1996","2194",Sarishabari,"3",Dhaka,Jamalpur,Sarishabari,Sarishabari,"0",NA,storm,1996-0086,"24.71892051","89.83654096"
"539",Bangladesh,BGD,"771","1997","1989",Maheshkhali,"3",Chittagong,Cox'S Bazar,Maheshkhali,Moheshkali,"0",NA,storm,1997-0114,"21.61555452","91.92208785"
"621",Bangladesh,BGD,"771","2009","1617",Banshkhali,"3",Chittagong,Chittagong,Banshkhali,Banshkhali,"0",NA,storm,2009-0157,"22.03960433","91.93385474"
"621",Bangladesh,BGD,"771","2009","1991",Maheshkhali,"3",Chittagong,Cox'S Bazar,Maheshkhali,Moheshkhali,"0",NA,storm,2009-0157,"21.61555452","91.92208785"
"621",Bangladesh,BGD,"771","2009","2170",Ramu,"3",Chittagong,Cox'S Bazar,Ramu,Ramu,"0",NA,storm,2009-0157,"21.43629195","92.12096274"
"621",Bangladesh,BGD,"771","2009","2196",Satkania,"3",Chittagong,Chittagong,Satkania,Satkania,"0",NA,storm,2009-0157,"22.12083269","92.06191617"
"635",Bangladesh,BGD,"771","2012","1768",Companiganj,"3",Chittagong,Noakhali,Companiganj,Companiganj,"0",NA,storm,2012-0385,"22.77206263","91.3135144"
"635",Bangladesh,BGD,"771","2012","1876",Hatiya,"3",Chittagong,Noakhali,Hatiya,Hatiya,"0",NA,storm,2012-0385,"22.29159078","91.0654556"
