id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
05-148,Chile,CHL,"155","2008","40355",Futaleufu,"3",Los Lagos,Palena,Futaleufu, Futaleufu towns ,"0",NA,volcanic activity,2008-0182,"-43.1838015","-72.05581241"
05-148,Chile,CHL,"155","2008","40356",Chaiten,"3",Los Lagos,Palena,Chaiten,Chaiten,"0",NA,volcanic activity,2008-0182,"-43.11771441","-72.57198144"
05-149,Chile,CHL,"155","2011","40358",Rio Bueno,"3",Los Rios,Ranco,Rio Bueno, Rio Bueno towns ,"0",NA,volcanic activity,2011-0209,"-40.54722381","-72.46937303"
05-149,Chile,CHL,"155","2011","40360",Lago Ranco,"3",Los Rios,Ranco,Lago Ranco, Lago Ranco,"0",NA,volcanic activity,2011-0209,"-40.38872882","-72.09593797"
05-149,Chile,CHL,"155","2011","40361",Futrono,"3",Los Rios,Ranco,Futrono,Futrono,"0",NA,volcanic activity,2011-0209,"-40.19283033","-72.15115045"
05-150,Chile,CHL,"155","2015","40364",Villarrica,"3",Araucania,Cautin,Villarrica,Vallarica,"0",NA,volcanic activity,2015-0143,"-39.42942608","-72.13881766"
05-150,Chile,CHL,"155","2015","40365",Curarrehue,"3",Araucania,Cautin,Curarrehue, Cararrehue municipalities,"0",NA,volcanic activity,2015-0143,"-39.32284983","-71.53784096"
05-150,Chile,CHL,"155","2015","40367",Temuco,"3",Araucania,Cautin,Temuco, Temuco town ,"0",NA,volcanic activity,2015-0143,"-38.76594155","-72.45180421"
05-150,Chile,CHL,"155","2015","40369",Pucon,"3",Araucania,Cautin,Pucon, Pucon,"0",NA,volcanic activity,2015-0143,"-39.21775253","-71.77059619"
05-273,Ecuador,ECU,"130","2015","40841",Pelileo,"3",Tungurahua,San Pedro De Pelileo,Pelileo,  Pelileo,"0",NA,volcanic activity,2015-0550,"-1.352592807","-78.52729492"
05-273,Ecuador,ECU,"130","2015","40842",Cotalo,"3",Tungurahua,San Pedro De Pelileo,Cotalo,Cotaló,"0",NA,volcanic activity,2015-0550,"-1.437412793","-78.50536916"
05-454,Indonesia,INS,"850","2004","41686",Tabukan Utara,"3",Sulawesi Utara,Kepulauan Sangihe,Tabukan Utara, Tabukan Utara sub-districts ,"0",NA,volcanic activity,2004-0251,"3.676827544","125.5086022"
05-454,Indonesia,INS,"850","2004","41687",Tahuna,"3",Sulawesi Utara,Kepulauan Sangihe,Tahuna,Tahuna,"0",NA,volcanic activity,2004-0251,"3.624971854","125.4836352"
05-454,Indonesia,INS,"850","2004","41688",Kendahe,"3",Sulawesi Utara,Kepulauan Sangihe,Kendahe, Kendahe,"0",NA,volcanic activity,2004-0251,"3.706613494","125.426205"
05-459,Indonesia,INS,"850","2007","41704",Ibu Selatan,"3",Maluku Utara,Halmahera Barat,Ibu Selatan,South Ibu sub-district ,"0",NA,volcanic activity,2007-0259,"1.357864234","127.563586"
05-482,Italy,ITA,"325","2001","41785",Nicolosi,"3",Sicily,Catania,Nicolosi,Nicolosi municipality ,"0",NA,volcanic activity,2001-0378,"37.6561584","15.01500363"
05-722,Peru,PER,"135","2006","42791",La Capilla,"3",Moquegua,General Sanchez Cerro,La Capilla, La Capilla,"0",NA,volcanic activity,2006-0213,"-16.82547788","-71.29444204"
05-722,Peru,PER,"135","2006","42793",Quinistaquillas,"3",Moquegua,General Sanchez Cerro,Quinistaquillas, Quinistaquillas municipalities ,"0",NA,volcanic activity,2006-0213,"-16.70387064","-70.87957766"
05-722,Peru,PER,"135","2006","42794",Matalaque,"3",Moquegua,General Sanchez Cerro,Matalaque, Matalaque,"0",NA,volcanic activity,2006-0213,"-16.52830239","-70.83691765"
05-722,Peru,PER,"135","2006","42795",Ubinas,"3",Moquegua,General Sanchez Cerro,Ubinas,Ubinas,"0",NA,volcanic activity,2006-0213,"-16.21712472","-70.80552682"
05-722,Peru,PER,"135","2006","42796",Coalaque,"3",Moquegua,General Sanchez Cerro,Coalaque, Coalaque,"0",NA,volcanic activity,2006-0213,"-16.57550597","-71.04637339"
05-722,Peru,PER,"135","2006","42797",Yunga,"3",Moquegua,General Sanchez Cerro,Yunga, Yunga,"0",NA,volcanic activity,2006-0213,"-16.22742308","-70.66038933"
05-722,Peru,PER,"135","2006","42798",Puquina,"3",Moquegua,General Sanchez Cerro,Puquina, Puquina,"0",NA,volcanic activity,2006-0213,"-16.62748631","-71.1584267"
05-722,Peru,PER,"135","2006","42800",Lloque,"3",Moquegua,General Sanchez Cerro,Lloque, Lloque,"0",NA,volcanic activity,2006-0213,"-16.30337308","-70.62741938"
05-722,Peru,PER,"135","2006","42802",Ichuna,"3",Moquegua,General Sanchez Cerro,Ichuna, Ichuna,"0",NA,volcanic activity,2006-0213,"-16.18790067","-70.49524337"
